Year,Place,Points,No.,Country,Performer,Song,Lyrics
2011,25,19,13,Switzerland,Anna Rossinelli,In Love For A While,"I looked into your eyes,
and when I saw your smile,
I knew right from the start:
life is good for a while.
Romance comes and goes,
but a love like ours is here to stay
each lovely night and sunny day.
I love everything about you,
I couldn't do without you.
Whenever you're near me,
all my days are on the bright side,
but when I'm not around you,
I have to find the way
to be with you each night and every day.
Na nanana nanana... na nanana nanana...
Na nanana nananana... na nananana...
Na nanana nanana... na nanana nanana...
Nanana nanana nanana...
And as time goes by
and we've seen stormy weather,
I know that you and I
we're always getting better,
but when I'm not around you,
I have to find the way
to be with you each night and every day.
Oh, I couldn't do without you, yeah,
I have to find the way to...
to be with you, no, oh no, no oh...
I love everything you do,
I have to find the way to be with you,
I know you and I are in love for a while."
2010,1,246,22,Germany,Lena,Satellite,"[Verse 1]
I went everywhere for you
I even did my hair for you
I bought new underwear, they're blue
And I wore 'em just the other day
Love, you know I'd fight for you
I left on the porch light for you
Whether you are sweet or cruel
I'm gonna love you either way

[Chorus]
Love, oh, love
I gotta tell you how I feel about you
'Cause I, oh, I
Can't go a minute without your love
Like a satellite, I'm in an orbit all the way around you
And I would fall out into the night
Can't go a minute without your love

[Verse 2]
Love, I got it bad for you
I saved the best I have for you
You sometimes make me sad and blue
Wouldn't have it any other way
Love, my aim is straight and true
Cupid's arrow is just for you
I even painted my toenails for you
I did it just the other day                                                             [Chorus]
Love, oh, love
I gotta tell you how I feel about you
'Cause I, oh, I
Can't go a minute without your love
Like a satellite, I'm in an orbit all the way around you
And I would fall out into the night
Can't go a minute without your
Love, oh, love
I gotta tell you how I feel about you
'Cause I, oh, I
Can't go a minute without your love

[Bridge]
Where you go, I follow
You set the pace, we'll take it fast or slow
I follow in your way
Oh, oh, oh
You got me, you got me
A force more powerful than gravity
It's physics, there's no escape

[Pre-Chorus]
Love, my aim is straight and true
Cupid's arrow is just for you
I even painted my toenails for you
I did it just the other day
[Chorus]
Love, oh, love
I gotta tell you how I feel about you
'Cause I, oh, I
Can't go a minute without your love
Like a satellite, I'm in an orbit all the way around you
And I would fall out into the night
Can't go a minute without your love
Love, oh, love
I gotta tell you how I feel about you
'Cause I, oh, I
Can't go a minute without your love

[Outro]
Love, love, love
Love
Love
Love"
2010,2,170,14,Turkey,maNga,We Could Be The Same,"[Verse 1]
You could be the one in my dreams
You could be much more than you seem
Anything I wanted in life
Do you understand what I mean?
I can see that this could be fate

[Refrain]
I can love you more than they hate
Doesn't matter who they will blame
We can beat them at their own game

[Pre-Chorus]
I can see it in your eyes
It doesn't come as a surprise
I see you dancing like a star
No matter how different we are

[Chorus]
For all this time I've been loving you
Don't even know your name
For just one night, we could be the same
No matter what they say

[Verse 2]
And I feel I'm turning the page
And I feel the world is a stage
I don't think that drama will stop
I don't think they'll give up the rage
But I know the world could be great   [Refrain]
I can love you more than they hate
Doesn't matter who they will blame
We can beat them at their own game

[Pre-Chorus]
I can see it in your eyes
It doesn't come as a surprise
I see you dancing like a star
No matter how different we are

[Chorus]
For all this time I've been loving you
Don't even know your name
For just one night, we could be the same
No matter what they say

[Instrumental]

[Chorus]
For all this time I've been loving you
Don't even know your name
For just one night, we could be the same
No matter what they say
No matter what they say
[Outro]
No matter what they say (They say, they say)
We could be the same
No matter what they say"
2010,3,162,19,Romania,Paula Seling & Ovi,Playing With Fire,"Girl girl girl can't you see
What you do to me tonight
Boy boy boy if you're mean
I will start a fight tonight
You and I could try to stop
Uh boy till you drop
If we get together now
We'll burn this place down
You and me can't you see
We're playing with fire
Tell me now do you feel
This burning desire.
Don't stop make it rock
Is taking us higher
Could it be just a dream
Are you running away?
Boy boy boy what a fight
Come and spend with me the night
Girl girl girl are you sure
I ain't here to fight
Alright
You and I could try to stop
Uh boy till you drop
If we get together now
We'll burn this place down
You and me can't you see
We're playing with fire
Tell me now do you feel
This burning desire
Don't stop make it rock
Is taking us higher
Could it be just a dream
Are you running away?
If we get together now
We'll burn this place down"
2010,4,149,25,Denmark,Chanée & N'evergreen,In A Moment Like This,"[Verse 1: N'evergreen, Chanée, Both]
For as long as I remember, for as long as I’ve been blue
Everyday since we’ve been parted all I’ve thought about was you
Didn’t need the time for sorrow, didn’t need the time for pain
What am I supposed to do when living without you was the worst I ever knew

[Chorus: Chanée & N'evergreen]
In a moment like this
Wanna know, wanna know, wanna know what you’re looking for
Wanna know, wanna know, wanna know could you ask for more
Oh, in a moment like this
Wanna know, wanna know, wanna know what I have to do
Wanna know, wanna know, wanna know how to get to you
Oh, in a moment like this

[Verse 2: N'evergreen, Chanée, Both]
Ever since the day you left me
Ever since you went away
I’m lost and I don’t know where am I supposed to go, I still miss you so

[Chorus: Chanée & N'evergreen]
In a moment like this [Bridge: Chanée, N'evergreen, Both]
When I need you, hold me
Say you’ll love and never leave me
My heart will forever be true

[Chorus: Chanée & N'evergreen]
In a moment like this
Wanna know, wanna know, wanna know what you’re looking for
Wanna know, wanna know, wanna know could you ask for more
Oh, in a moment like this
Wanna know, wanna know, wanna know what I have to do
Wanna know, wanna know, wanna know how to get to you
Oh, in a moment like this
Wanna know, wanna know, wanna know what you’re looking for
Wanna know, wanna know, wanna know could you ask for more
Oh, in a moment like this"
2010,5,145,1,Azerbaijan,Safura,Drip Drop,"You are my man
You are my half
Tell me what's happening
I know something's wrong
I can tell when you lie
I can tell you stopped trying
And these last three weeks passed, and we barely talk
I think I know and it's breaking my heart
Am I in or am I out?
Can I love you forever through this?
Can I trust in you forever through this?
I don't know how to stop, how to stop
These teardro-o-ops
That drip drop, drip drop
Drip drop, drip drop, oh, oh
These teardro-o-ops
That drip drop, drip drop
Drip drop, drip drop, oh, oh
Tell me where have you been?
Why are you late?
You smell like lipstick again
Come on, answer my question, say something
Why are you acting out?
Or say it's in my head, I don't wanna end
Can I love you forever through this?
Can I trust in you forever through this?
I don't know how to stop, how to stop
These teardro-o-ops
That drip drop, drip drop
Drip drop, drip drop, oh, oh
I don't wanna cry
I don't wanna hear your name
If this is where it is
I don't wanna run
Run away from myself
And be lost again, yeah
Can I love you forever through this?
(Oh, no-no-no, oh, no-no-no)
Can I trust in you forever through this?
I don't know how to stop, how to stop
These teardro-o-ops
That drip drop, drip drop
Drip drop, drip drop, oh, oh
These teardro-o-ops
That drip drop, drip drop
Drip drop, drip drop, oh, oh
These teardro-o-ops (ooh)
That drip drop, drip drop (ooh)
Drip drop, drip drop, oh, oh"
2010,6,143,7,Belgium,Tom Dice,Me And My Guitar,"People always say: ""Tom, this is going too far""
I'm not afraid to change my dreams
Just me and my guitar
And no one may ever know
The feelings inside my mind
'Cause all of the lines I ever write
Are running out of time
So maybe I should get a nine to five
And I don't wanna let it go
There's so much more to life
Tell me, did I get it wrong?
Tell me everything will be okay
And before I fall
Tell me they'll play my songs
And tell me they'll sing the words I'll sing
When darkness falls
All of the stars will see
Just me and my guitar
Surely I'll find my way
'Cause I'm not afraid to try
Even a world of love and hope
Can't guarantee that prize
So maybe I should get a nine to five
And I don't wanna let it go
There's so much more to life
Tell me, did I get it wrong?
Tell me everything will be okay
And before I fall, no no
Tell me they'll play my songs
And tell me they'll sing the words I'll sing
When darkness falls
All of the stars will see
Just me and my guitar,
Me and my guitar"
2010,7,141,21,Armenia,Eva Rivas,Apricot Stone,"[Verse 1]
Many, many years ago
When I was a little child
Mama told me you should know
Our world is cruel and wild
But to make your way through cold and heat
Love is all that you need

[Pre-Chorus]
I believed her every word
More than anything I heard
But I was too scared to lose my fun
I began to cry a lot
And she gave me apricots
Kisses of the earth, fruits of the sun

[Chorus]
Apricot stone
Hidden in my hand
Given back to me
From the motherland

Apricot stone
I will drop it down
In the frozen ground
Let it, let it make its round                        Apricot stone
Hidden in my hand
Given back to me
From the motherland

[Post-Chorus]
Apricot Stone

[Verse 2]
Now I see the Northern stars
Shining brightly in the storm
And I've got an avatar
Of my love to keep me warm
Now I'm not afraid of violent winds
They may blow - they can't win

[Pre-Chorus]
May the winter stay away
From my harvest night and day
May God bless and keep my cherished fruit
Grow my tree up to the sky
Once I waved my home goodbye
I just want to go back to my roots

[Chorus]
Apricot stone
Hidden in my hand
Given back to me
From the motherland
Apricot stone
I will drop it down
In the frozen ground
Let it, let it make its round

Apricot stone
Hidden in my hand
Given back to me
From the motherland

Apricot stone
Hidden in my hand
Given back to me
From the motherland

[Outro]
Apricot Stone"
2010,8,140,11,Greece,Giorgos Alkaios & Friends,OPA,"[Verse 1]
Έκαψα το χθες, νύχτες μου παλιές
Θρύψαλα οι αναμνήσεις έγιναν κι αυτές
Μνήμες και φωνές άδικες ευχές
Κι άφησα σε μια γωνία ανοιχτές πληγές

[Verse 2]
Έκαψα το χθες νύχτες μου παλιές
Όνειρα και εφιάλτες ρίχνω στις φωτιές
Δάκρυα καυτά ψέματα πολλά
Μοιάζουν σαν βουβή ταινία που δεν βλέπω πια

[Pre-Chorus]
Ώπα!

[Chorus]
Βάζω μια φωτιά
Σ’ όλα τα παλιά
Όλα θα τ’ αλλάξω
Και θα το φωνάξω
Περασμένα ξεχασμένα κι όλα απ’ την αρχή ξανά

Βάζω μια φωτιά
Σ’ όλα τα παλιά
Όλα θα τ’ αλλάξω
Και θα το φωνάξω
Περασμένα ξεχασμένα κι όλα απ’ την αρχή ξανά                [Verse 3]
Έκαψα το χθες, νύχτες μου παλιές
Κι από το μηδέν αρχίζω όσο κι αν δε θες
Δάκρυα καυτά ψέματα πολλά
Πλήρωσα όσο χρωστούσα και τα δανεικά

[Pre-Chorus]
Ώπα!

[Chorus]
Βάζω μια φωτιά
Σ’ όλα τα παλιά
Όλα θα τ’ αλλάξω
Και θα το φωνάξω
Περασμένα ξεχασμένα κι όλα απ’ την αρχή ξανά

Ώπα!

Βάζω μια φωτιά
Σ’ όλα τα παλιά
Όλα θα τ’ αλλάξω
Και θα το φωνάξω
Περασμένα ξεχασμένα κι όλα απ’ την αρχή ξανά

[Chorus]
Βάζω μια φωτιά
Σ’ όλα τα παλιά
Όλα θα τ’ αλλάξω
Και θα το φωνάξω
Περασμένα ξεχασμένα κι όλα απ’ την αρχή ξανά
Ώπα!"
2010,9,136,13,Georgia,Sofia Nizharadze,Shine,"Who can ever tell the color of a soul
And the memories we keep from long ago?
Do we ever really know each other's past?
You can't go back to before
But tomorrow will bring even more
Like the tide's gonna turn you will know,
When it's cold
You're on your own but you're never alone
Shine, shine like the stars in the sky
Wipe your dust off your love, let it shine
So when nothing's ever really carved in stone
Remember that your heart is holding on
And when every second melts up in the past
Don't be afraid it will end
Only fear that it never began
Like the tide's gonna turn you will know,
When it's cold
You're on your own but you're never alone
Shine, shine like the stars in the sky
Wipe your dust off your love, let it shine
You can't go back to before
But tomorrow will bring even more...
Like the tide's gonna turn you will know,
When it's cold
You're on your own but you're never alone
Shine, shine like the stars in the sky
Let it shine"
2010,10,108,17,Ukraine,Alyosha,Sweet People,"Oh, sweet people
What have we done?
Tell me what is happening?
For all that we've built
Tumbles and is gone

Oh, sweet people
Have you no love for mankind?
Must you go on killing
Just to pass the time

The message is so true
The end is really near
All these feelings take me down
It steals the things so dear
Yes, the message is so real
Don't turn all the earth to stone
Because, because, because
This is your home

Oh, sweet people
What about our children?
In theaters and video games
They watch what we send to ruin

Oh, sweet people
What senseless game
Have we all been playing?
No one but you to blame?                     The message is so true
The end is really near
All these feelings take me down
It steals the things so dear
Yes, the message is so real
Don't turn all the earth to stone
Because, because, because
This is your home

This is our home"
2010,11,90,20,Russia,Peter Nalitch & Friends,Lost And Forgotten,"Would you believe
Lord of mercy
would you be... saa... Lord-Lord
I wanna love her now
And i wanna fill that now...
All of those kisses and sweet embraces
Here am I, lost and forgotten
For this cruel-cruel time when I'm first time in love
Now that is why I say Lord of mercy
And i hope now that you here me
Oh yeah...
- what are you doing man?
- I'm looking at her fotos, what should I do with them
- drop them into the fire
- oh yeah, I gonna burn 'em now
Cause I have to forget you now
As all, as all those kisses and sweet embrases
Here am I, lost and forgotten
For this cruel-cruel time when I'm first time in love
Now that is why i say Lord of mercy
And i hope now that you here me
Oh bring her back to me!"
2010,12,82,18,France,Jessy Matador,Alllez Olla Olé,"[Paroles de ""Allez ola olé""]

[Intro: Jessy Matador]
Tout le monde!

[Couplet 1: Jessy Matador]
Ola, belle assemblée
Qui a envie de bouger
Pour se laisser aller
Au rythme de l'année
Allez allez allez
Il faut en profiter
C'est une bonne journée
Et on va la fêter

[Couplet 2: Jessie Fasano & Jessy Matador]
Chouchou, faut te lever (Hop)
Et bouger ton fessier (Mmm)
Danser, collé serré (Hop)
Pour un baiser salé (Hop)
Prends-moi par le côté (Hop)
Fais-moi ton déhanché (Mmm)
Lala, ça va chauffer (Hop)
Je sens le truc monter  [Interlude: Jessy Matador]
Ahhhhhhh
Yeah!   [Refrain: Jessy Matador & Jessie Fasano]
Allez allez allez (Hop) Allez ola olé (Hop, hop)
Allez allez allez (Hop, hop) Ola olé (Hop, hop, hop)
Allez allez allez (Hop) Allez ola olé (Hop)
Allez allez allez (Hop, hop) C'est le son de l'année (Hop, hop, hop)

[Pont: Jessy Matador]
Allez, allez allez allez
Il faut danser (Tout le monde)
Danser (Tout le monde)
Danser, collé serré

[Riff: Jessy Matador]
Tout-le-monde-badabadam-badabadam
Badabadam-badam- (C'est le son de l'année)
Badabadam-badabadam
Badabadam-badam-dam
Tout-le-monde-badabadam-badabadam
Badabadam-badam- (Faut se laisser aller)
Badabadam-badabadam
Badabadam-badam-dam (Au rythme de l'année)
Ahhhh, brrrr!

[Refrain: Jessy Matador & Jessie Fasano]
Allez allez allez, allez ola olé
Allez allez allez, ola olé (Allez)
Allez allez allez (Allez) Allez ola olé (Allez)
Allez allez allez, c'est le son de l'année
[Pause: Jessy Matador]
Hop, hop, hop
Hop, hop, hop
Tout le monde
Hop, hop, mmm
Allez (Allez), allez (Allez), il faut danser
Tout le monde, tout le monde

[Interlude: Jessy Matador]
Ahhhhhhh
Yeah!

[Riff: Jessy Matador]
Badabadam-badabadam
Badabadam-badam-dam
Tout-le-monde-badabadam-badabadam
Badabadam-badam- (Ahhhh!)
Tout-le-monde-badabadam-badabadam
Badabadam-badam-dam (Brrrr!)
Tout-le-monde-badabadam-badabadam (Tout le monde!)
Badabadam-badam- (Tout le monde!)

[Refrain: Jessy Matador & Jessie Fasano]
Allez allez allez, allez ola olé
Allez allez allez, ola olé
Allez allez allez, allez ola olé (Allez)
Allez allez allez, c'est le son de l'année"
2010,13,72,8,Serbia,Milan Stanković,Ovo Je Balkan,"[Tekst pesme ""Ovo je Balkan""]

[Strofa 1]
Ej, Ljubice, Ljubice
Praviš mi, Ljubice, zazubice
Ej, stisni me, kisni me
Ljubice, na grudi pritisni me

[Refren]
Ljubiš me kô balavica
Nije te sram
Beograd, Beograd
Ja bezobrazan
Ne jednom, ne dvaput, tri puta me
Beograd, Beograd, tri puta po naški je

[Post-Refren]
Balkan, Balkan, Balkan, ovo je Balkan
Come on!
Op, op, op, ovo je Balkan
Come on!
Op, op, op, ovo je Balkan
Come on!
Op, op, op, ovo je Balkan
Come on!
Op, op, op, ovo je Balkan
Come on!    [Prelaz]
Ej, Ljubice, Ljubice
Grudi ti, Ljubice, haubice

[Refren]
Ljubiš me kô balavica
Nije te sram
Beograd, Beograd
Ja bezobrazan
Ne jednom, ne dvaput, tri puta me
Beograd, Beograd, tri puta po naški je

[Post-Refren]
Balkan, Balkan, Balkan, ovo je Balkan
Come on!
Op, op, op, ovo je Balkan
Come on!
Op, op, op, ovo je Balkan
Come on!
Op, op, op, ovo je Balkan
Come on!
Op, op, op, ovo je Balkan
Come on!

[Prelaz]
Samo malo, samo malo, samo malo
Samo malo, samo malo, samo malo
Samo malo, samo malo mu ga daj, aj, aj
[Refren]
Ljubiš me kô balavica
Nije te sram
Beograd, Beograd
Ja bezobrazan
Ne jednom, ne dvaput, tri puta me
Beograd, Beograd, tri puta po naški je, hej"
2010,14,71,24,Israel,Harel Skaat,Milim,"Elle s'est tue ce soir, elle n'est plus dès lors
La voix que j'aimais, et jamais plus
Je ne marcherai à ses côtés
Dans la rue, comme j'aimais
Non, jamais plus
Je ne pourrai, je ne saurai ressentir la chaleur
Et la douceur de son regard
Quand vient le soir, je me perds, je vis sans elle
Il restera ses mots pour vivre et pour grandir
Il restera ses mots pour aimer, pour vieillir
Il restera ses mots, ceux qu'elle a sus me dire
Oh mon Dieu, il restera ses mots
Et dans ce grand silence
Quand vient le soir, je suis perdu
Je doute de moi
J'aurais tellement besoin de sa présence
Qu'elle me rassure avec sa voix
Il restera ses mots pour vivre et pour grandir
Il restera ses mots pour aimer, pour vieillir
Il restera ses mots, ceux qu'elle a sus me dire
Oh mon Dieu, il restera ses mots
Il restera ses mots, mais c'est si peu de choses
Quand celle qui les dit n'est pas là quand il faut
Il restera ses mots qu'il me faudra choisir
Oh mon Dieu, il restera ses mots
Elle m'a laissé seul, si désemparé
J'ai tout oublié, des rêves que j'avais
Oui, mais elle m'a donné
Les mots qu'elle emportait avec elle, et je m'en vais
Woh-oh-oh-oh-oh
Il restera ses mots pour vivre et pour grandir
Il restera ses mots pour aimer, pour vieillir
Il restera ses mots, ceux qu'elle a sus me dire
Oh mon Dieu, il restera ses mots
Oh-oh-oh-oh-oh
Il restera ses mots qu'il me faudra choisir
Oh mon Dieu, oh
Il restera ses mots
"
2010,15,68,2,Spain,Daniel Diges,Algo Pequeñito,"Algo pequeñito, algo chiquitito
Una rosa blanca, una caricia, un beso dulce y un perdón
Algo pequeñito, algo chiquitito
Un gesto tierno, una mirada, un abrazo o una flor
Algo pequeñito, algo chiquitito
Un simple te quiero, con dulzura, con cariño y con pasión
Es lo que te pido amor
Mi vida se derrumba, me partes el corazón
Trata pronto de cambiar
El tiempo se termina ahora de verdad
Algo pequeñito, uoh-uh-uoh-uh-uoh
Algo chiquitito, uoh-uh-uoh-uh-uoh
Cosas simples que ahora no me das
Que te pido con locura si no quieres terminar
Algo pequeñito, uoh-uh-uoh-uh-uoh
Algo chiquitito, uoh-uh-uoh-uh-uoh
En tus manos tienes la ocasión
Hoy decides si quererme o romperme el corazón
Algo pequeñito, algo muy bonito
Tu pelo al viento que se enreda entre mis manos al calor
Has sabido comprender
Que las pequeñas cosas son las que hacen esto arder
Ahora trata de cambiar
Que el resto de las cosas ya se arreglarán
Algo pequeñito, uoh-uh-uoh-uh-uoh
Algo chiquitito, uoh-uh-uoh-uh-uoh
Cosas simples que ahora si me das
Que te quiero con locura y siempre yo te voy a amar
Algo pequeñito, uoh-uh-uoh-uh-uoh
Algo chiquitito, uoh-uh-uoh-uh-uoh
En tus manos tienes la ocasión
Decidiste tú quererme y no romperme el corazón
No romperme el corazón
Algo pequeñito, uoh-uh-uoh-uh-uoh
Algo chiquitito, uoh-uh-uoh-uh-uoh
Cosas simples que ahora no me das
Que te pido con locura si no quieres terminar
Algo pequeñito, uoh-uh-uoh-uh-uoh
Algo chiquitito
En tus manos tienes la ocasión
Hoy decides si quererme o romperme el corazón"
2010,16,62,15,Albania,Juliana Pasha,It's All About You,"You are the one, you give me that something I need
It's me, and I'm calling
You are the one, making it easy to be
In love with you I'm falling

We've been down
But don't you know it went down here, and I feel it
Even now, time that we make a deal
And seal it, loving you

It's all about you, the things that I do
The rest of the world don't understand me
You're all that I dream, everything that I need
'Cause when you are gone, I feel so empty

It's all in the way you look at me
You're driving me crazy
It's all about you, all the things that I do
You are my life, 'cause you make it amazing, amazing

I'm the one, who doesn't know how to say no
To you, I'm so easy
I'm the one, who's letting my ego just go
For you, complete me

We've been down
But something tells me it's only getting better
So stick around, I wanna know what it feels like
Forever and ever

It's all about you, the things that I do
The rest of the world don't understand me
You're all that I dream, everything that I need
'Cause when you are gone, I just feel empty

It's all in the way you look at me
You're driving me crazy
It's all about you, all the things that I do
You are my life 'cause you make it amazing

I'm never alone with the loving you give me
Wherever I go, I'm hoping you miss me
Don't wanna ever go back
Never ever go back
Oh, baby you're my destiny, oh yeah

It's all about you, the things that I do
The rest of the world don't understand me
You're all that I dream, everything that I need
'Cause when you are gone, I just feel empty

It's all in the way you look at me
You're driving me crazy
It's all about you, all the things that I do
You are my life, 'cause you make it amazing, oh yeah

It's all about you"
2010,17,51,6,Bosnia & Herzegovina,Vukašin Brajić,Thunder And Lightning,"Say just one more word
And you will make it end
And I will leave this place
Only anger will remain
And it doesn't seem to me
We're each other's better side
These days
This is the time to melt the ice
Off our lips and off our hearts
Thunder and lightning holding hands
Let's overcome the past
The drought is all around
But if we start breathing together
We can bring the rain down
For a dream, for a brand new day
To wash away our sins
And carry them away
This is the time to melt the ice
Off our lips and off our hearts
Thunder and lightning holding hands
Let's overcome the past
We have to do it fast
In this crazy world
Just you and I
Say just one more word
And everything will end, everyone will leave"
2010,18,43,23,Portugal,Filipa Azevedo,Há Dias Assim,"Há dias assim, que nos deixam sós
A alma vazia, a mágoa na voz
Gastamos as mãos, tanto as apertamos
Já não há palavras, foi de tanto as calarmos

Há uma canção que não te cantei
Versos por rimar, poemas que nunca inventei
Quem nos pôs assim? A vida rasgada
Quem te me levou? Roubou-me a alma
Mas de ti não sabe nada

Há dias assim, não há que esconder
Recear palavras, amar ou sofrer
Ocultar sentidos, fingir que não há
Há dias perdidos entre cá e lá

Há uma canção que não te cantei
Versos por rimar, poemas que nunca inventei
Quem nos pôs assim? A vida rasgada
Quem te me levou? Roubou-me a alma
Mas de ti não sabe nada

Sei que um dia saberás que a vida é uma só
Não volta atrás

Quem nos pôs assim? A vida rasgada
Quem te me levou? Roubou-me a alma
Mas de ti não sabe nada"
2010,19,41,16,Iceland,Hera Björk,Je Ne Sais Quoi,"I am standing strong, I've overcome the sadness in my life
Now I look up and see the brightest sky above me
And it's reflecting in your eyes

Je ne sais quoi, I know you have a special something
Je ne sais quoi, oh, something I just can't explain
And when I see your face I wanna follow my emotions
Je ne sais pas, pourquoi?

When the clouds are gone the stars come out around us, shining
And all that we see is the love, our hearts aligned together
Tell me, do you feel the same?

Je ne sais quoi, I know you have a special something
Je ne sais quoi, oh, something I just can't explain
And when I see your face I wanna follow my emotions
Je ne sais pas, pourquoi?

I just love this crazy feeling
It's like I've known you all my life

Je ne sais quoi
Je ne sais quoi, I know you have a special something
Je ne sais quoi, oh, something I just can't explain
And when I see your face I wanna follow my emotions
Je ne sais pas, pourquoi?"
2010,20,35,3,Norway,Didrik Solli-Tangen,My Heart Is Yours,"You are like a sunset
Behind a mountain somewhere
And when I cannot see you
I know you're still there
Because my heart is yours, I'll never leave you
Though we are far apart, I'm by your side
My love is never gone, I feel it rise again
Through it all, now my heart is yours
You say I am the moonlight
I watch you at night
And when you cannot see me
I'm still there in the sky
Because my heart is yours, I'll never leave you
Though we are far apart, I'm by your side
My love is never gone, I feel it rise again
Through it all, now my heart is yours
Because my heart is yours, I'll never leave you
Though we are far apart, I'm by your side
My love is never gone, I feel it rise again
Through it all, now my heart is yours"
2010,21,27,5,Cyprus,Jon Lilygreen & The Islanders,Life Looks Better In Spring,"Time changes everything,
Even you and I have changed
The rain the winters bring
has made us fade away
I still remember everything,
That old December, the fears, the cold,
I really wonder how you feel
On these nights, all alone
I hope some day you'll see me
I hope some day you'll spot me in the crowd
Take my hand and kiss me
I hope some day you'll say my name out loud
Tell me,
tell me about your feelings,
Tell me about your stories
Look into my eyes and come on closer
And make me immortal with a kiss
Tell me,
tell me about your feelings,
Tell me about your stories
We know it's over, so tell me it's over
and life will be better in spring.
Time changes everything,
But this feeling, it still remains
The sweetness of the lips I kissed
Will always be the same.
I hope some day you'll see me
I hope some day you'll spot me in the crowd
Smile and say you miss me
I hope some day you'll say my name out loud
Tell me,
tell me about your feelings,
Tell me about your stories
Look into my eyes and come on closer
And make me immortal with a kiss
Tell me,
tell me about your feelings,
Tell me about your stories
We know it's over, so tell me it's over
and life will be better in spring.
Tell me,
tell me about your feelings,
Tell me about your stories
Look into my eyes and come on closer
And make me immortal with a kiss
Tell me,
tell me about your feelings,
Tell me about your stories
We know it's over, so tell me it's over
and life will be better in spring."
2010,22,27,4,Moldova,Sunstroke Project & Olia Tira,Run Away,"Oh, forget, let me breathe, let me live!
Just run away from my mind.
Oh, forgive, I don't need,
I won't breathe!
Just get away from my life!


You've lost one and all, so fly away
Over the clouds, under the sky.
Never come back and run away
With all your might, give up you!


I don't believe anymore
your shallow heart.
I know that it's you who
chose to play this trick.
I'll never forgive
you, not for anything!
And now you are left with nothing.

Oh, forget, let me breathe, let me live!
Just run away from my mind.
Oh, forgive, I don't need,
I won't breathe!
Just get away from my life.


Oh, forget, let me breathe, let me live!
Just run away from my mind.
Oh, forgive, I don't need,
I won't breathe!
Just get away from my life.


There's no other time to making
Happiness. You have mistaken.
We have no progressive future!
I know your lying nature.

There's no other time to making
Happiness. You have mistaken!
We have no progressive future!
I know your lying nature!


Oh, forget, let me breathe, let me live!
Just run away from my mind.
Oh, forgive, I don't need,
I won't breathe!
Just get away from my life.

Oh, forget, let me breathe, let me live!
Just run away from my mind.
Oh, forgive, I don't need,
I won't breathe!
Just get away from my life"
2010,23,25,10,Ireland,Niamh Kavanagh,It's For You,"Look in to these eyes
Hold on to these hands
Believe in this heartbeat
Though you're afraid
that I might break
Just hold on

Shadows only haunt you
When darkness crowds your heart
So let the light of my love
shine bright


When I cry it's for the lonely
When I pray it's for the lost and stray
When I love like there's no tomorrow
No more words to say

It's for you

Look straight ahead
Hold on to your dreams
Believe in this magic
Open your eyes
Open your mind
and it's there

Shadows only haunt you
When darkness crowds your heart
So let the light of my love
Shine bright


When I cry it's for the lonely
When I pray it's for the lost and stray
When I love like there's no tomorrow
No more words to say


When shadows haunt you
And darkness crowds your heart
Let the light of my love
shine bright


When I cry it's for the lonely
When I pray it's for the lost and stray
When I love like there's no tomorrow
No more words to say
It's for you
It's for you
"
2010,24,18,9,Belarus,3+2,Butterflies,"Im gonna tell you whats inside my soul
We are so fragile just like melting snow
Weve got to come to see the beauty of love
And imagine and imagine just imagine
And were like butterflies flying to the sun
The sun will never let us look inside
I believe that thisll be opened up
But at the right time
Heartfully just wait for it it will come
And even if you often were so wrong
And you denied the miracles possible
But you have got to see it anyway
And imagine and imagine just imagine
And were like butterflies flying to the sun
The sun will never let us look inside
I believe that thisll be opened up
But at the right time
Heartfully just wait for it it will come
And were like butterflies flying to the sun (The sun)
The sun will never let us look inside
(Look inside I believe)
I believe that thisll be opened up
But at the right time
Heartfully just wait for it
And all the secrets will come come out"
2010,25,10,12,United Kingdom,Josh,That Sounds Good To Me,"How do I begin to imagine
All the happy faces I'd like to see?
The final destination
With sounds of celebration
If I could find the opportunity
 
So I wonder, who can I turn to?
Who can make these wishes and dreams come true?
And with you there beside me
And loving hands to guide me
Anything is possible to do
 
So if you bring the sunshine
I'll bring the good times
Just add your laughter
It's happy ever after
I don't know about you
But that sounds good to me
 
I can feel it coming together
All the loving working so very well
There's nothing left to do now
I'm gonna see it through now
And we can let the future write itself
 
So if you bring the sunshine
I'll bring the good times
Just add your laughter
It's happy ever after
I don't know about you
But that sounds good to me
 
Whoa... (Oh whoa whoa yeah...)
 
You bring the sunshine
I'll bring the good times
Just add your laughter
It's happy ever after
I don't know about you
But that sounds good to me
 
I don't know about you
But that sounds good to me
 
That sounds good to me"
2009,1,387,20,Norway,Alexander Rybak,Fairytale,"Years ago, when I was younger
I kinda liked a girl I knew
She was mine and we were sweethearts
That was then, but then it's true
I'm in love with a fairytale
Even though it hurts
'Cause I don't care if I lose my mind
I'm already cursed
Every day, we started fighting
Every night, we fell in love
No one else could make me sadder
But no one else could lift me high above
I don't know what I was doing
When suddenly, we fell apart
Nowadays, I cannot find her
But when I do, we'll get a brand new start
I'm in love with a fairytale
Even though it hurts
'Cause I don't care if I lose my mind
I'm already cursed
She's a fairytale, yeah
Even though it hurts
'Cause I don't care if I lose my mind
I'm already cursed"
