Year,Place,Points,No.,Country,Performer,Song,Lyrics,Cleaned Lyrics,Language,Topic
2008,7,138,12,Turkey,Mor ve Ötesi,Deli,"Aranıyor sahibi ruhumun, tam yerine mi düştüm?
Direniyor faili tutkunun, kızmış ve küçülmüş
Aranıyor sahibi ruhumun, tam yerine mi düştüm?
Direniyor, direniyor, direniyor
Beni büyütün, ağlatmayın
Sevginiz ner'de övündüğünüz?
Beni büyütün, ağlatmayın
Sahte düşlerle oyalamayın
Aranıyor sahibi ruhumun, tam yerine mi düştüm?
Direniyor faili tutkunun, kızmış ve küçülmüş
Aranıyor sahibi ruhumun, tam yerine mi düştüm?
Direniyor, direniyor, direniyor
Beni büyütün, ağlatmayın
Sevginiz ner'de övündüğünüz?
Beni büyütün, aldatmayın
Sahte düşlerle...
Bir yarım akıllı, bir yarım deli
Dört yanım akıllı, bir yanım deli
Herkes akıllı, bir ben deli
Bir ben deli, bir ben deli
Beni büyütün, ağlatmayın
Sevginiz ner'de övündüğünüz?
Beni büyütün, ağlatmayın
Sahte düşlerle oyalamayın
","aranıyor sahibi ruhumun, tam yerine mi düştüm?
direniyor faili tutkunun, kızmış ve küçülmüş
aranıyor sahibi ruhumun, tam yerine mi düştüm?
direniyor, direniyor, direniyor
beni büyütün, ağlatmayın
sevginiz ner'de övündüğünüz?
beni büyütün, ağlatmayın
sahte düşlerle oyalamayın
aranıyor sahibi ruhumun, tam yerine mi düştüm?
direniyor faili tutkunun, kızmış ve küçülmüş
aranıyor sahibi ruhumun, tam yerine mi düştüm?
direniyor, direniyor, direniyor
beni büyütün, ağlatmayın
sevginiz ner'de övündüğünüz?
beni büyütün, aldatmayın
sahte düşlerle...
bir yarım akıllı, bir yarım deli
dört yanım akıllı, bir yanım deli
herkes akıllı, bir ben deli
bir ben deli, bir ben deli
beni büyütün, ağlatmayın
sevginiz ner'de övündüğünüz?
beni büyütün, ağlatmayın
sahte düşlerle oyalamayın
",tr,1
2008,8,132,20,Azerbaijan,Elnur & Samir,Day After Day,"For peace we pray
Save us from all fears
Oh Lord, save us...

[Verse 1]
You can feel me in your mind
With every breath you take
Burn the earth with flame of sins
I'll make you feel dismay

[Pre - Chorus]
Our feelings play with us
But you must keep yourself under control
If you're searching for resolves
Be ready for the tolls

[Chorus]
Show us the right way
Day after day
All fears we must forget
Then better world we'll get

[Verse 2]
If you have the greatest aim
Keep it in your soul
I'll be always by your side
Always in your heart                           [Pre - Chorus]
Our dreams can play with us
Even if we think that we keep control
From all horrors of the world
Salvation is love, love

[Chorus]
The earth is in flame
And you must share the blame
Look inside yourself
We both are there

[Bridge]
Day after day
Day after day
Day...

[Outro]
Day after day
All fears we must forget
Then better world we'll get
Then better world we'll get
Then better world we'll get
Then better world we'll get","for peace we pray
save us from all fears
oh lord, save us...


you can feel me in your mind
with every breath you take
burn the earth with flame of sins
i'll make you feel dismay


our feelings play with us
but you must keep yourself under control
if you're searching for resolves
be ready for the tolls


show us the right way
day after day
all fears we must forget
then better world we'll get


if you have the greatest aim
keep it in your soul
i'll be always by your side
always in your heart                           
our dreams can play with us
even if we think that we keep control
from all horrors of the world
salvation is love, love


the earth is in flame
and you must share the blame
look inside yourself
we both are there


day after day
day after day
day...


day after day
all fears we must forget
then better world we'll get
then better world we'll get
then better world we'll get
then better world we'll get",en,0
2008,9,124,7,Israel,Boaz,The Fire In Your Eyes,"זה קשה, זה קשה
כשגעגוע מול ירח כאן לרגע ובורח
אחריו רודף הבכי
זה קשה, זה קשה
כשגעגוע מול ירח כאן לרגע ובורח
אחריו רודף הבכי
ואחרי הכל תמיד מגיע שיר
רגע טוב עכשיו אתה יותר קרוב

לא אור כוכב
אתה עכשיו
איתי, איתי, כאילו אמיתי
כמו אז מזמן

Come along, come along
See the fire in your eyes
And you come with me, with me
לפעמים מביא הרוח ריח טוב, מוכר
מלטף, עכשיו שומע...

לא אור כוכב
אתה עכשיו
איתי, איתי, כאילו אמיתי
כמו אז מזמן

נפשי מייחלת לתפילת הלב החם
נפשי מייחלת לתפילת הלב החם

לא אור כוכב
איתי, איתי, כאילו אמיתי
כמו אז מזמן","זה קשה, זה קשה
כשגעגוע מול ירח כאן לרגע ובורח
אחריו רודף הבכי
זה קשה, זה קשה
כשגעגוע מול ירח כאן לרגע ובורח
אחריו רודף הבכי
ואחרי הכל תמיד מגיע שיר
רגע טוב עכשיו אתה יותר קרוב

לא אור כוכב
אתה עכשיו
איתי, איתי, כאילו אמיתי
כמו אז מזמן

come along, come along
see the fire in your eyes
and you come with me, with me
לפעמים מביא הרוח ריח טוב, מוכר
מלטף, עכשיו שומע...

לא אור כוכב
אתה עכשיו
איתי, איתי, כאילו אמיתי
כמו אז מזמן

נפשי מייחלת לתפילת הלב החם
נפשי מייחלת לתפילת הלב החם

לא אור כוכב
איתי, איתי, כאילו אמיתי
כמו אז מזמן",he,3
2008,10,110,6,Bosnia & Herzegovina,Laka,Pokušaj,"Ne silazi sa čardaka, reko mi je pjevač Laka
Ne klepeći nanulama, nemoj da se praviš dama
Ne silazi sa čardaka, reko mi je lično Laka
Ne silazi sa čardaka dok ti ljubav nije jaka
Na moju omiljenu foru
Prevarim faunu i floru
Da život nije postao u moru
Nego od ljubavi
Ljubavi, ljubavi
Od ljubavi
Kolike protraćismo dane
Ležeći jedući banane
Pa spadosmo na niske grane
Bez ljubavi
Ljubavi, ljubavi
Bez ljubavi
Pokušaću da te poljubim, a ti se pravi luda
Pokušaću da te poljubim, a ti se pravi luda
Pokušaću da te probudim, a ti se pravi budna
Ne silazi sa čardaka, reko mi je pjevač Laka
Ne klepeći nanulama, nemoj da se praviš dama
Ne silazi sa čardaka, reko mi je lično Laka
Ne silazi sa čardaka dok ti ljubav nije jaka
Pokušaću da te poljubim, a ti se pravi luda
Pokušaću da te poljubim, a ti se pravi luda
Pokušaću da te probudim, a ti se pravi budna
Pokušaću da te poljubim, a ti se pravi luda
Pokušaću da te poljubim, a ti se pravi luda
Pokušaću da te probudim, a ti se pravi budna","ne silazi sa čardaka, reko mi je pjevač laka
ne klepeći nanulama, nemoj da se praviš dama
ne silazi sa čardaka, reko mi je lično laka
ne silazi sa čardaka dok ti ljubav nije jaka
na moju omiljenu foru
prevarim faunu i floru
da život nije postao u moru
nego od ljubavi
ljubavi, ljubavi
od ljubavi
kolike protraćismo dane
ležeći jedući banane
pa spadosmo na niske grane
bez ljubavi
ljubavi, ljubavi
bez ljubavi
pokušaću da te poljubim, a ti se pravi luda
pokušaću da te poljubim, a ti se pravi luda
pokušaću da te probudim, a ti se pravi budna
ne silazi sa čardaka, reko mi je pjevač laka
ne klepeći nanulama, nemoj da se praviš dama
ne silazi sa čardaka, reko mi je lično laka
ne silazi sa čardaka dok ti ljubav nije jaka
pokušaću da te poljubim, a ti se pravi luda
pokušaću da te poljubim, a ti se pravi luda
pokušaću da te probudim, a ti se pravi budna
pokušaću da te poljubim, a ti se pravi luda
pokušaću da te poljubim, a ti se pravi luda
pokušaću da te probudim, a ti se pravi budna",hr,1
2008,11,83,17,Georgia,Diana Gurtskaya,Peace Will Come,"Look, the sky is crying cold bitter tears
Weeping for the people lost in fear
While we fight for nothing my eyes run dry
Are you still so blind to ask me why...why
Say it out loud, peace will come
Everybody shout, peace will come
When you stop and tame your rage
Something's gotta change
Something's gotta change
Say it out loud, peace will come
Everybody shout, peace will come
Blow the trumpet, beat the drum
Peace will come
Sometimes words kill faster than bullets do
And the face of war is never true
Kids with guns are always too young to die
Are you still so deaf to ask me why...why
My land is still crying
Torn in half
My world is slowly dying
My heart is only crying
Peace and love","look, the sky is crying cold bitter tears
weeping for the people lost in fear
while we fight for nothing my eyes run dry
are you still so blind to ask me why...why
say it out loud, peace will come
everybody shout, peace will come
when you stop and tame your rage
something's gotta change
something's gotta change
say it out loud, peace will come
everybody shout, peace will come
blow the trumpet, beat the drum
peace will come
sometimes words kill faster than bullets do
and the face of war is never true
kids with guns are always too young to die
are you still so deaf to ask me why...why
my land is still crying
torn in half
my world is slowly dying
my heart is only crying
peace and love",en,0
2008,12,83,14,Latvia,Pirates Of The Sea,Wolves Of The Sea,"With a hii hii hoo and a hii hii hey!
We're hoisting the flag to be free
We will steal the show, Jolly Rogers go
We are wolves of the sea
Don't try to run, it's all set and done
There's treasure in sight
We are robbing you blind, I hope you don't mind
We are taking it all tonight
Just walk away we'll conquer it all
Pirates will stand and the loser will fall
With a hii hii hoo and a hii hii hey!
We're bound to be close to the sea
Our captain will stand on the bridge and sing
Pirates are all we can be
With a hii hii hoo and a hii hii hey!
We're hoisting the flag to be free
We will steal the show, Jolly Rogers go
We are wolves of the sea
Down to the core we're coming for more
With a sword close at hand
We are scary and bold chest full of gold
We get sealegs when sighting land
The hook of our captain is looking at you
There's no Peter Pan so what can you do
With a hii hii hoo and a hii hii hey!
We're bound to be close to the sea
Our captain will stand on the bridge and sing
Pirates are all we can be
With a hii hii hoo and a hii hii hey!
We're hoisting the flag to be free
We will steal the show, Jolly Rogers go
We are wolves of the sea
","with a hii hii hoo and a hii hii hey!
we're hoisting the flag to be free
we will steal the show, jolly rogers go
we are wolves of the sea
don't try to run, it's all set and done
there's treasure in sight
we are robbing you blind, i hope you don't mind
we are taking it all tonight
just walk away we'll conquer it all
pirates will stand and the loser will fall
with a hii hii hoo and a hii hii hey!
we're bound to be close to the sea
our captain will stand on the bridge and sing
pirates are all we can be
with a hii hii hoo and a hii hii hey!
we're hoisting the flag to be free
we will steal the show, jolly rogers go
we are wolves of the sea
down to the core we're coming for more
with a sword close at hand
we are scary and bold chest full of gold
we get sealegs when sighting land
the hook of our captain is looking at you
there's no peter pan so what can you do
with a hii hii hoo and a hii hii hey!
we're bound to be close to the sea
our captain will stand on the bridge and sing
pirates are all we can be
with a hii hii hoo and a hii hii hey!
we're hoisting the flag to be free
we will steal the show, jolly rogers go
we are wolves of the sea
",en,0
2008,13,69,13,Portugal,Vânia Fernandes,Senhora Do Mar (Negras Águas),"Senhora do Mar
Ante vós me tendes caída
Quem vem tirar meia da vida e da paz
Desta mesa, desta casa perdidas
Amor que é de ti
Senhora do Mar
Ante vós minha alma está vazia
Quem vem chamar a si o que é meu
Oh mar alto, trás p'ra mim...
Amor meu sem fim
Ai negras águas
Ondas de mágoas
Gelaram o meu fogo no olhar
(Senhora do Mar)
Ele não torna a navegar
E ninguém vos vê chorar
Senhora do Mar
Quem vem tirar meia da vida e da paz
Desta mesa, desta casa perdidas
Amor que é de ti
Ai negras águas
Ondas de mágoas
Gelaram o meu fogo no olhar
(Senhora do Mar)
Vida sem sal, rezas em vão
Deixai seu coração
Bater junto a mim
Ai negras águas
Ondas de mágoas
Gelaram o meu fogo no olhar
(Senhora do Mar)
Ele não torna a navegar
E ninguém vos vê chorar
Senhora do Mar
","senhora do mar
ante vós me tendes caída
quem vem tirar meia da vida e da paz
desta mesa, desta casa perdidas
amor que é de ti
senhora do mar
ante vós minha alma está vazia
quem vem chamar a si o que é meu
oh mar alto, trás p'ra mim...
amor meu sem fim
ai negras águas
ondas de mágoas
gelaram o meu fogo no olhar
(senhora do mar)
ele não torna a navegar
e ninguém vos vê chorar
senhora do mar
quem vem tirar meia da vida e da paz
desta mesa, desta casa perdidas
amor que é de ti
ai negras águas
ondas de mágoas
gelaram o meu fogo no olhar
(senhora do mar)
vida sem sal, rezas em vão
deixai seu coração
bater junto a mim
ai negras águas
ondas de mágoas
gelaram o meu fogo no olhar
(senhora do mar)
ele não torna a navegar
e ninguém vos vê chorar
senhora do mar
",pt,2
2008,14,64,11,Iceland,Euroband,This Is My Life,"I spent my days in vain just waiting
For happiness to come my way
I took for granted all they gave me
I opened my eyes
Finally I realised
This is my life
I don't wanna change a thing
This is my life
All the pain, all the joy it brings
All through the years
Of blood, sweat and tears
Hopes and my fears
All that was meant to be
This is my life
What will be, will be
There's no denying all the heartaches
Were just a blessing in disguise
If I never made a single mistake
I wouldn't be here
Part of the plan I believe
This is my life
I don't wanna change a thing
This is my life
All the pain, all the joy it brings
All through the years
Of blood, sweat and tears
Hopes and my fears
All that was meant to be
This is my life
What will be, will be
I've found the key
To set myself free
You'll be amazed
'Cause I have the power
To change my ways
This is my life
I don't wanna change a thing
This is my life
All the pain, all the joy it brings
All through the years
Of blood, sweat and tears
Hopes and my fears
All that was meant to be
This is my life
What will be
This is my life","i spent my days in vain just waiting
for happiness to come my way
i took for granted all they gave me
i opened my eyes
finally i realised
this is my life
i don't wanna change a thing
this is my life
all the pain, all the joy it brings
all through the years
of blood, sweat and tears
hopes and my fears
all that was meant to be
this is my life
what will be, will be
there's no denying all the heartaches
were just a blessing in disguise
if i never made a single mistake
i wouldn't be here
part of the plan i believe
this is my life
i don't wanna change a thing
this is my life
all the pain, all the joy it brings
all through the years
of blood, sweat and tears
hopes and my fears
all that was meant to be
this is my life
what will be, will be
i've found the key
to set myself free
you'll be amazed
'cause i have the power
to change my ways
this is my life
i don't wanna change a thing
this is my life
all the pain, all the joy it brings
all through the years
of blood, sweat and tears
hopes and my fears
all that was meant to be
this is my life
what will be
this is my life",en,0
2008,15,60,16,Denmark,Simon Mathew,All Night Long,"The sun is up
I'm feeling great
I'm just enjoying life
Right here in the shade
Lets take a ride, right away
I'll be by your side
So easy, the easy life
Celebrate the good times

[Chorus]
All night long
All night long
Celebrate good times
Come on
All night long

[Verse 2]
Who's to tell
What's to come
All I know is tomorrow
Today will be gone
Get out, out of bed
Put on your blue suede shoes
Get up, up and dance
Celebrate the good times           All night long
All night long
Celebrate good times
Come on
All night long

All night long
All night long
Celebrate good times
Come on
All night long

[Bridge]
If your life is like a sad song maybe
You should try and celebrate it, celebrate it

[Chorus]
All night long
All night long
Celebrate good times
Come on
All night long

All night long
All night long
Celebrate good times
Come on
All night long
All night long
All night long
Celebrate good times
Come on
All night long","the sun is up
i'm feeling great
i'm just enjoying life
right here in the shade
lets take a ride, right away
i'll be by your side
so easy, the easy life
celebrate the good times


all night long
all night long
celebrate good times
come on
all night long


who's to tell
what's to come
all i know is tomorrow
today will be gone
get out, out of bed
put on your blue suede shoes
get up, up and dance
celebrate the good times           all night long
all night long
celebrate good times
come on
all night long

all night long
all night long
celebrate good times
come on
all night long


if your life is like a sad song maybe
you should try and celebrate it, celebrate it


all night long
all night long
celebrate good times
come on
all night long

all night long
all night long
celebrate good times
come on
all night long
all night long
all night long
celebrate good times
come on
all night long",en,0
2008,16,55,22,Spain,Rodolfo Chikilicuatre,Baila El Chiki Chiki,"¡Perrea! ¡Perrea!
¡Perrea! ¡Perrea!
El chikichiki mola mogollón
Lo bailan en la China y tambien en Alcorcón
Dale chikichiki a esa morenita
Que el chikichiki la pone muy tontita
Lo baila Jose Luis, lo baila bien suave
Lo baila Mariano, mi amor ya tu sabes
Lo bailan los brother, lo baila mi hermano
Lo baila mi mulata con las bragas en la mano
¡Perrea! ¡Perrea!
El Chiki Chiki is a Reaggetton
Dance in Argentina, Serbia and Oregón
Give el Chiki-Chiki to that little sister
With el Chiki-Chiki She's gonna like it mister!
Dance it with Alonso, Dance it with Gasol
Dance it with your brothers, all around the world
Dance it with Bardem Dance it with Banderas
Dance with Almodóvar Dance la Macarena
Y el chiki chiki se baila así
Uno: el brikindans
Dos: el crusaíto
Tres: el maiquelyason
Cuatro: el robocop
Baila el chikichiki baila el chikichiki
Lo bailan los jevis y también los friquis
Lo bailan en la cárcel, lo bailan en la escuela
Lo baila mi madre y también mi abuela
Baila el chikichiki baila el chikichiki
Lo bailan los jevis y también los friquis
Lo bailan en la cárcel, lo bailan en la escuela
Lo baila mi madre y también mi abuela
Lo canta el Tigre Puma con su traje a rayas
Y Juan Carlos le dice ¿por qué no te callas?
En el velatorio del Padre Damián
Pusieron chikichiki y el muerto echó a bailar
¡Bailar, bailar, bailar!
Y el chiki chiki se baila así
Uno: el brikindans
Dos: el crusaíto
Tres: el maiquelyason
Cuatro: el robocop
Perrea Perrea
Lo baila Jose Luis, lo baila bien suave
Lo baila Mariano, mi amor ya tu sabes
Lo bailan los bródel, lo baila mi hermano
Lo baila mi mulata con las bragas en la mano
Y el chiki chiki se baila así
Uno: el brikindans
Dos: el crusaíto
Tres: el maiquelyason
Cuatro: el robocop
Uno: el brikindans
Dos: el crusaíto
Tres: el maiquelyason
Cuatro: el robocop
¡¡¡PERREA PERREA!!!","¡perrea! ¡perrea!
¡perrea! ¡perrea!
el chikichiki mola mogollón
lo bailan en la china y tambien en alcorcón
dale chikichiki a esa morenita
que el chikichiki la pone muy tontita
lo baila jose luis, lo baila bien suave
lo baila mariano, mi amor ya tu sabes
lo bailan los brother, lo baila mi hermano
lo baila mi mulata con las bragas en la mano
¡perrea! ¡perrea!
el chiki chiki is a reaggetton
dance in argentina, serbia and oregón
give el chiki-chiki to that little sister
with el chiki-chiki she's gonna like it mister!
dance it with alonso, dance it with gasol
dance it with your brothers, all around the world
dance it with bardem dance it with banderas
dance with almodóvar dance la macarena
y el chiki chiki se baila así
uno: el brikindans
dos: el crusaíto
tres: el maiquelyason
cuatro: el robocop
baila el chikichiki baila el chikichiki
lo bailan los jevis y también los friquis
lo bailan en la cárcel, lo bailan en la escuela
lo baila mi madre y también mi abuela
baila el chikichiki baila el chikichiki
lo bailan los jevis y también los friquis
lo bailan en la cárcel, lo bailan en la escuela
lo baila mi madre y también mi abuela
lo canta el tigre puma con su traje a rayas
y juan carlos le dice ¿por qué no te callas?
en el velatorio del padre damián
pusieron chikichiki y el muerto echó a bailar
¡bailar, bailar, bailar!
y el chiki chiki se baila así
uno: el brikindans
dos: el crusaíto
tres: el maiquelyason
cuatro: el robocop
perrea perrea
lo baila jose luis, lo baila bien suave
lo baila mariano, mi amor ya tu sabes
lo bailan los bródel, lo baila mi hermano
lo baila mi mulata con las bragas en la mano
y el chiki chiki se baila así
uno: el brikindans
dos: el crusaíto
tres: el maiquelyason
cuatro: el robocop
uno: el brikindans
dos: el crusaíto
tres: el maiquelyason
cuatro: el robocop
¡¡¡perrea perrea!!!",es,2
2008,17,55,3,Albania,Olta Boka,Zemrën E Lamë Peng,"Ora si zemër troket
Ora e çmendur rend
Akrepa nuk ka
Kohën vodhe ti
Nga jeta ime

Bora e zërit tënd
Mbi zemrën time ra
Mbuloi
Strehën e fundit
Te dashurisë

Dhe ndalen akrepat atje

Ditë pas ditë ne
Rrahje pas rrahje
Më kot kërkuam
Or' e përkryer
Një zemër jo kurrë s'mund të jetë

Natë pas natë ne
Rrahje pas rrahje
Ne te larguar
Por jo nuk mundëm
Se zemrën të dy e lamë peng  Ora si zemër troket
Ora e çmendur rend
Akrepa nuk ka
Kohën vodhe ti
Nga jeta ime

Mbi zemrën time ra
Mbuloi
Strehën e fundit
Te dashurisë

Dhe ndalen akrepat atje

Ditë pas ditë ne
Rrahje pas rrahje
Më kot kërkuam
Or' e përkryer
Një zemër jo kurrë s'mund të jetë

Natë pas natë ne
Rrahje pas rrahje
Ne te larguar
Por jo nuk mundëm
Se zemrën të dy e lamë peng","ora si zemër troket
ora e çmendur rend
akrepa nuk ka
kohën vodhe ti
nga jeta ime

bora e zërit tënd
mbi zemrën time ra
mbuloi
strehën e fundit
te dashurisë

dhe ndalen akrepat atje

ditë pas ditë ne
rrahje pas rrahje
më kot kërkuam
or' e përkryer
një zemër jo kurrë s'mund të jetë

natë pas natë ne
rrahje pas rrahje
ne te larguar
por jo nuk mundëm
se zemrën të dy e lamë peng  ora si zemër troket
ora e çmendur rend
akrepa nuk ka
kohën vodhe ti
nga jeta ime

mbi zemrën time ra
mbuloi
strehën e fundit
te dashurisë

dhe ndalen akrepat atje

ditë pas ditë ne
rrahje pas rrahje
më kot kërkuam
or' e përkryer
një zemër jo kurrë s'mund të jetë

natë pas natë ne
rrahje pas rrahje
ne te larguar
por jo nuk mundëm
se zemrën të dy e lamë peng",sq,1
2008,18,47,15,Sweden,Charlotte Perrelli,Hero,"Everything has a beginning
Everything comes to an end
Take it or leave it you better believe it
Be my lover, be my friend

[Verse 2]
Try to deny, what you're feeling
And you know that your heart
Will say no love will last longer
Growing stronger and stronger
If you stay and don't let go

[Chorus]
Oh, out on the line
Like a star, like a hero
Love will survive
Oh, taking the fight
Is the life of a hero
Staying alive
This is a story of love
And compassion
Only heroes can tell
Oh, out on the line
Like a star, like a hero
Love will survive   Heaven and earth
Keep colliding
But we love on a world
Of it's own
Oh, there you can fake it
Just make it or break it
Only you can find the one

[Chorus]
Oh, out on the line
Like a star, like a hero
Love will survive
Oh, taking the fight
Is the life of a hero
Staying alive
This is a story of love
And compassion
Only heroes can tell
Oh, out on the line
Like a star, like a hero
Love will survive

[Bridge]
Oh, survive heroes
Can live on their own
But heroes never die alone
[Chorus]
Oh, out on the line
Like a star, like a hero
Love will survive
Oh, taking the fight
Is the life of a hero
Staying alive
This is a story of love
And compassion
Only heroes can tell
Oh, out on the line
Like a star, like a hero
Love will survive

[Outro]
Oh, out on the line
Like a star, like a hero
Love will survive","everything has a beginning
everything comes to an end
take it or leave it you better believe it
be my lover, be my friend


try to deny, what you're feeling
and you know that your heart
will say no love will last longer
growing stronger and stronger
if you stay and don't let go


oh, out on the line
like a star, like a hero
love will survive
oh, taking the fight
is the life of a hero
staying alive
this is a story of love
and compassion
only heroes can tell
oh, out on the line
like a star, like a hero
love will survive   heaven and earth
keep colliding
but we love on a world
of it's own
oh, there you can fake it
just make it or break it
only you can find the one


oh, out on the line
like a star, like a hero
love will survive
oh, taking the fight
is the life of a hero
staying alive
this is a story of love
and compassion
only heroes can tell
oh, out on the line
like a star, like a hero
love will survive


oh, survive heroes
can live on their own
but heroes never die alone

oh, out on the line
like a star, like a hero
love will survive
oh, taking the fight
is the life of a hero
staying alive
this is a story of love
and compassion
only heroes can tell
oh, out on the line
like a star, like a hero
love will survive


oh, out on the line
like a star, like a hero
love will survive",en,0
2008,19,47,19,France,Sébastien Tellier,Divine,"No, no, no, no, no, no, no, I'm
Looking for a band today
I see the Chivers anyway
Through my eyes
Oh, oh, oh, I
I'm alone in life to say
I love the Chivers anyway
'Cause Chivers look divine
Look away
They try to find the Milky Way
They love to drink it every day
No, no, no, no, no, no, no
You, you and I, it's like you said
I'm not a Chivers anyway
You look fine
Oh, oh, oh, I
I, I'm alone in life to say
I love the Chivers anyway
'Cause Chivers look divine
Look away
They try to find the Milky Way
I'm
I'm alone in life to say
I love the Chivers anyway
In your eyes
Oh oh oh, I'm
Looking for a band today
I see the Chivers anyway
I'll be a Chivers guy someday
In my mind
Do-do-do-do-do-do-do-do
Do-do-do-do-do-do-do-do
Do-do-do-do","no, no, no, no, no, no, no, i'm
looking for a band today
i see the chivers anyway
through my eyes
oh, oh, oh, i
i'm alone in life to say
i love the chivers anyway
'cause chivers look divine
look away
they try to find the milky way
they love to drink it every day
no, no, no, no, no, no, no
you, you and i, it's like you said
i'm not a chivers anyway
you look fine
oh, oh, oh, i
i, i'm alone in life to say
i love the chivers anyway
'cause chivers look divine
look away
they try to find the milky way
i'm
i'm alone in life to say
i love the chivers anyway
in your eyes
oh oh oh, i'm
looking for a band today
i see the chivers anyway
i'll be a chivers guy someday
in my mind
do-do-do-do-do-do-do-do
do-do-do-do-do-do-do-do
do-do-do-do",en,0
2008,20,45,1,Romania,Nico & Vlad,Pe-o Margine De Lume,"Vino
Pe-o margine de lume
Ca pe o banca goala
Sa stam
Cerul
Sub talpi ni s-ar intinde
Si nici nu vom sti daca
Visam
Astazi,
Mai mult ca niciodata
Gandul meu te cheama
Vino
O noapte intreaga si-o zi
Cu tine alaturi de-as fi
As crede ca lumea-i a mea
Si numai tie lumea ti-o voi da
Vieni
E stringimi la mano
Io vengo da lontano
Per te
Guarda
Il mondo che ho sognato
Presente e passato
Con te
Astazi
Mai mult ca niciodata
Gandul meu te cheama
Vino
O noapte intreaga si-o zi
Ti offro il mio cuore e lo sai
Cu tine alaturi de-as fi
Sono innamorata piu che mai
As crede ca lumea-i a mea
Ti voglio tanto bene
Si numai tie lumea ti-o voi da
La vita intera con te
Il sogno piu bello che c'e
Il nostro camino vedra
La luce di un amore senza eta
La luce di un amore senza eta
Sa-mi spui ca vei ramane doar
A mea","vino
pe-o margine de lume
ca pe o banca goala
sa stam
cerul
sub talpi ni s-ar intinde
si nici nu vom sti daca
visam
astazi,
mai mult ca niciodata
gandul meu te cheama
vino
o noapte intreaga si-o zi
cu tine alaturi de-as fi
as crede ca lumea-i a mea
si numai tie lumea ti-o voi da
vieni
e stringimi la mano
io vengo da lontano
per te
guarda
il mondo che ho sognato
presente e passato
con te
astazi
mai mult ca niciodata
gandul meu te cheama
vino
o noapte intreaga si-o zi
ti offro il mio cuore e lo sai
cu tine alaturi de-as fi
sono innamorata piu che mai
as crede ca lumea-i a mea
ti voglio tanto bene
si numai tie lumea ti-o voi da
la vita intera con te
il sogno piu bello che c'e
il nostro camino vedra
la luce di un amore senza eta
la luce di un amore senza eta
sa-mi spui ca vei ramane doar
a mea",it,3
2008,21,44,9,Croatia,Kraljevi Ulice & 75 Cents,Romanca,"Vidiš prijatelju, ja pamtim sve
I mogu ti reći da između ove
I milijun drugih pjesama ne postoji razlika

Jer život taj za nama briše tragove
U dobru noć on pušta čudne vragove
Pa svaki san je hladnim suncem obasjan
A sjećanja su skoro sva ugasnula

Da pitaš me još samo jedno znao bi
Da boje sve tek s ovom rimom postoje
A noć i dan su nekog stiha trag
I nestat će kad sve naše pjesme izblijede

Zasvirajte noćas tu romancu
Tiho, nježno da me razboli
Tugu kad umire slavuj
Kad se duša s tijelom razdvoji

Zasvirajte noćas tu romancu
Al polako da je čuju svi
Neka opet sviraju gitare
Već odavno nisam sluš'o njih

Govore mi danas da sam u banani
Tehnološki otpad ko majmun na grani
A ja sam bio prvi Internet na svijetu
Na brodovima s glazbom umrežio planetu

Pamtim i sad sve snove svojih pjesama
Sva maštanja i lica što su nestala
Ko sjene su još dio mojih buđenja
Zarobljena u mene, davno utkana

Zasvirajte noćas tu romancu
Tiho, nježno da me razboli
Tugu kad umire slavuj
Kad se duša s tijelom razdvoji

Zasvirajte noćas tu romancu
Al polako da je čuju svi
Neka opet sviraju gitare
Već odavno nisam sluš'o njih

Govore mi danas da sam u banani
Tehnološki otpad ko majmun na grani
A ja sam bio prvi Internet na svijetu
Na brodovima s glazbom umrežio planetu

Ja sam umrežio, ja sam umrežio
Ja, ja, ja sam bio prvi Internet na svijetu
Ja ѕam umrežio plаnetu","vidiš prijatelju, ja pamtim sve
i mogu ti reći da između ove
i milijun drugih pjesama ne postoji razlika

jer život taj za nama briše tragove
u dobru noć on pušta čudne vragove
pa svaki san je hladnim suncem obasjan
a sjećanja su skoro sva ugasnula

da pitaš me još samo jedno znao bi
da boje sve tek s ovom rimom postoje
a noć i dan su nekog stiha trag
i nestat će kad sve naše pjesme izblijede

zasvirajte noćas tu romancu
tiho, nježno da me razboli
tugu kad umire slavuj
kad se duša s tijelom razdvoji

zasvirajte noćas tu romancu
al polako da je čuju svi
neka opet sviraju gitare
već odavno nisam sluš'o njih

govore mi danas da sam u banani
tehnološki otpad ko majmun na grani
a ja sam bio prvi internet na svijetu
na brodovima s glazbom umrežio planetu

pamtim i sad sve snove svojih pjesama
sva maštanja i lica što su nestala
ko sjene su još dio mojih buđenja
zarobljena u mene, davno utkana

zasvirajte noćas tu romancu
tiho, nježno da me razboli
tugu kad umire slavuj
kad se duša s tijelom razdvoji

zasvirajte noćas tu romancu
al polako da je čuju svi
neka opet sviraju gitare
već odavno nisam sluš'o njih

govore mi danas da sam u banani
tehnološki otpad ko majmun na grani
a ja sam bio prvi internet na svijetu
na brodovima s glazbom umrežio planetu

ja sam umrežio, ja sam umrežio
ja, ja, ja sam bio prvi internet na svijetu
ja ѕam umrežio plаnetu",hr,1
